entity,column,description
transactions,transaction_id,Unique transaction identifier.
transactions,transaction_date,Date the transaction was recorded.
transactions,amount,Transaction amount in the dataset currency.
transactions,vendor_id,Vendor the transaction was paid to.
transactions,account_code,Chart-of-accounts code the transaction posts to.
transactions,category,Spend category of the transaction.
transactions,reconciliation_status,Reconciliation state of the transaction.
vendor_payouts,payout_id,Unique payout identifier.
vendor_payouts,amount,Payout amount in the dataset currency.
vendor_payouts,vendor_id,Vendor the payout was made to.
vendors,vendor_id,Unique vendor identifier.
vendors,vendor_name,Vendor display name.
accounts,account_code,Unique chart-of-accounts code.
reconciliation,reconciliation_id,Unique reconciliation record identifier.
reconciliation,status,Reconciliation outcome status.
