reconciliation_id,transaction_id,status,matched_at,note
R000001,T000001,reconciled,2023-01-05T12:00:00+00:00,auto-matched
R000002,T000004,reconciled,2023-04-04T12:00:00+00:00,auto-matched
R000003,T000005,reconciled,2023-05-07T12:00:00+00:00,
R000004,T000006,pending,2023-06-30T12:00:00+00:00,auto-matched
R000005,T000007,reconciled,2023-07-21T12:00:00+00:00,auto-matched
R000006,T000008,disputed,2023-08-29T12:00:00+00:00,
R000007,T000010,pending,2023-10-14T12:00:00+00:00,auto-matched
R000008,T000013,disputed,2024-01-31T12:00:00+00:00,auto-matched
R000009,T000014,disputed,2024-02-05T12:00:00+00:00,
R000010,T000015,disputed,2024-03-17T12:00:00+00:00,auto-matched
R000011,T000016,pending,2024-04-20T12:00:00+00:00,auto-matched
R000012,T000017,reconciled,2024-05-04T12:00:00+00:00,
R000013,T000023,pending,2024-11-10T12:00:00+00:00,auto-matched
R000014,T000024,pending,2024-12-18T12:00:00+00:00,auto-matched
R000015,T000025,pending,2023-01-31T12:00:00+00:00,
R000016,T000026,reconciled,2023-02-27T12:00:00+00:00,auto-matched
R000017,T000027,disputed,2023-03-04T12:00:00+00:00,auto-matched
R000018,T000029,reconciled,2023-05-25T12:00:00+00:00,
R000019,T000031,reconciled,2023-07-13T12:00:00+00:00,auto-matched
R000020,T000032,reconciled,2023-08-27T12:00:00+00:00,auto-matched
R000021,T000033,reconciled,2023-09-26T12:00:00+00:00,
R000022,T000034,reconciled,2023-10-18T12:00:00+00:00,auto-matched
R000023,T000035,reconciled,2023-11-29T12:00:00+00:00,auto-matched
R000024,T000036,reconciled,2023-12-22T12:00:00+00:00,
R000025,T000039,pending,2024-03-07T12:00:00+00:00,auto-matched
R000026,T000040,reconciled,2024-04-14T12:00:00+00:00,auto-matched
R000027,T000041,pending,2024-05-28T12:00:00+00:00,
R000028,T000042,disputed,2024-06-05T12:00:00+00:00,auto-matched
R000029,T000043,pending,2024-07-19T12:00:00+00:00,auto-matched
R000030,T000044,reconciled,2024-08-22T12:00:00+00:00,
R000031,T000045,pending,2024-09-18T12:00:00+00:00,auto-matched
R000032,T000046,pending,2024-10-02T12:00:00+00:00,auto-matched
R000033,T000049,pending,2023-01-26T12:00:00+00:00,
R000034,T000050,disputed,2023-02-21T12:00:00+00:00,auto-matched
R000035,T000051,reconciled,2023-03-13T12:00:00+00:00,auto-matched
R000036,T000052,disputed,2023-04-03T12:00:00+00:00,
R000037,T000053,reconciled,2023-05-30T12:00:00+00:00,auto-matched
R000038,T000055,pending,2023-07-06T12:00:00+00:00,auto-matched
R000039,T000056,disputed,2023-08-30T12:00:00+00:00,
R000040,T000057,pending,2023-09-01T12:00:00+00:00,auto-matched
R000041,T000058,disputed,2023-10-15T12:00:00+00:00,auto-matched
R000042,T000059,reconciled,2023-11-06T12:00:00+00:00,
R000043,T000060,pending,2023-12-08T12:00:00+00:00,auto-matched
R000044,T000061,pending,2024-01-27T12:00:00+00:00,auto-matched
R000045,T000062,pending,2024-02-22T12:00:00+00:00,
R000046,T000063,disputed,2024-03-28T12:00:00+00:00,auto-matched
R000047,T000064,disputed,2024-04-29T12:00:00+00:00,auto-matched
R000048,T000065,reconciled,2024-05-17T12:00:00+00:00,
R000049,T000066,disputed,2024-06-01T12:00:00+00:00,auto-matched
R000050,T000067,disputed,2024-07-25T12:00:00+00:00,auto-matched
R000051,T000068,pending,2024-08-26T12:00:00+00:00,
R000052,T000069,disputed,2024-09-05T12:00:00+00:00,auto-matched
R000053,T000072,disputed,2024-12-16T12:00:00+00:00,auto-matched
R000054,T000073,disputed,2023-01-30T12:00:00+00:00,
R000055,T000074,pending,2023-02-20T12:00:00+00:00,auto-matched
R000056,T000076,disputed,2023-04-24T12:00:00+00:00,auto-matched
R000057,T000077,disputed,2023-05-19T12:00:00+00:00,
R000058,T000080,disputed,2023-08-22T12:00:00+00:00,auto-matched
R000059,T000081,reconciled,2023-09-19T12:00:00+00:00,auto-matched
R000060,T000082,reconciled,2023-10-31T12:00:00+00:00,
R000061,T000083,reconciled,2023-11-01T12:00:00+00:00,auto-matched
R000062,T000084,reconciled,2023-12-06T12:00:00+00:00,auto-matched
R000063,T000085,pending,2024-01-08T12:00:00+00:00,
R000064,T000086,pending,2024-02-24T12:00:00+00:00,auto-matched
R000065,T000090,pending,2024-06-18T12:00:00+00:00,auto-matched
R000066,T000091,pending,2024-07-10T12:00:00+00:00,
R000067,T000093,disputed,2024-09-23T12:00:00+00:00,auto-matched
R000068,T000094,reconciled,2024-10-15T12:00:00+00:00,auto-matched
R000069,T000095,pending,2024-11-08T12:00:00+00:00,
R000070,T000096,reconciled,2024-12-09T12:00:00+00:00,auto-matched
R000071,T000097,disputed,2023-01-05T12:00:00+00:00,auto-matched
R000072,T000098,disputed,2023-02-21T12:00:00+00:00,
R000073,T000099,reconciled,2023-03-06T12:00:00+00:00,auto-matched
R000074,T000102,pending,2023-06-24T12:00:00+00:00,auto-matched
R000075,T000105,disputed,2023-09-23T12:00:00+00:00,
R000076,T000106,disputed,2023-10-14T12:00:00+00:00,auto-matched
R000077,T000108,reconciled,2023-12-30T12:00:00+00:00,auto-matched
R000078,T000110,disputed,2024-02-29T12:00:00+00:00,
R000079,T000112,pending,2024-04-13T12:00:00+00:00,auto-matched
R000080,T000113,disputed,2024-05-27T12:00:00+00:00,auto-matched
R000081,T000114,reconciled,2024-06-24T12:00:00+00:00,
R000082,T000115,reconciled,2024-07-29T12:00:00+00:00,auto-matched
R000083,T000116,disputed,2024-08-16T12:00:00+00:00,auto-matched
R000084,T000118,disputed,2024-10-03T12:00:00+00:00,
R000085,T000120,disputed,2024-12-09T12:00:00+00:00,auto-matched
R000086,T000121,disputed,2023-01-24T12:00:00+00:00,auto-matched
R000087,T000122,reconciled,2023-02-19T12:00:00+00:00,
R000088,T000123,disputed,2023-03-06T12:00:00+00:00,auto-matched
R000089,T000124,reconciled,2023-04-11T12:00:00+00:00,auto-matched
R000090,T000125,reconciled,2023-05-24T12:00:00+00:00,
R000091,T000126,pending,2023-06-30T12:00:00+00:00,auto-matched
R000092,T000127,pending,2023-07-28T12:00:00+00:00,auto-matched
R000093,T000128,pending,2023-08-11T12:00:00+00:00,
R000094,T000129,reconciled,2023-09-25T12:00:00+00:00,auto-matched
R000095,T000130,reconciled,2023-10-12T12:00:00+00:00,auto-matched
R000096,T000131,disputed,2023-11-04T12:00:00+00:00,
R000097,T000132,pending,2023-12-11T12:00:00+00:00,auto-matched
R000098,T000133,reconciled,2024-01-07T12:00:00+00:00,auto-matched
R000099,T000135,disputed,2024-03-24T12:00:00+00:00,
R000100,T000136,pending,2024-04-07T12:00:00+00:00,auto-matched
R000101,T000138,pending,2024-06-23T12:00:00+00:00,auto-matched
R000102,T000139,reconciled,2024-07-02T12:00:00+00:00,
R000103,T000140,disputed,2024-08-31T12:00:00+00:00,auto-matched
R000104,T000141,disputed,2024-09-18T12:00:00+00:00,auto-matched
R000105,T000142,pending,2024-10-21T12:00:00+00:00,
R000106,T000146,disputed,2023-02-22T12:00:00+00:00,auto-matched
R000107,T000147,pending,2023-03-26T12:00:00+00:00,auto-matched
R000108,T000148,reconciled,2023-04-28T12:00:00+00:00,
R000109,T000149,disputed,2023-05-21T12:00:00+00:00,auto-matched
R000110,T000150,reconciled,2023-06-05T12:00:00+00:00,auto-matched
R000111,T000151,pending,2023-07-07T12:00:00+00:00,
R000112,T000152,disputed,2023-08-15T12:00:00+00:00,auto-matched
R000113,T000153,disputed,2023-09-04T12:00:00+00:00,auto-matched
R000114,T000154,disputed,2023-10-16T12:00:00+00:00,
R000115,T000156,disputed,2023-12-15T12:00:00+00:00,auto-matched
R000116,T000157,pending,2024-01-02T12:00:00+00:00,auto-matched
R000117,T000158,reconciled,2024-02-11T12:00:00+00:00,
R000118,T000159,pending,2024-03-29T12:00:00+00:00,auto-matched
R000119,T000160,disputed,2024-04-12T12:00:00+00:00,auto-matched
R000120,T000162,reconciled,2024-06-19T12:00:00+00:00,
R000121,T000163,reconciled,2024-07-19T12:00:00+00:00,auto-matched
R000122,T000164,pending,2024-08-16T12:00:00+00:00,auto-matched
R000123,T000165,pending,2024-09-21T12:00:00+00:00,
R000124,T000166,pending,2024-10-12T12:00:00+00:00,auto-matched
R000125,T000167,disputed,2024-11-23T12:00:00+00:00,auto-matched
R000126,T000168,reconciled,2024-12-31T12:00:00+00:00,
R000127,T000169,disputed,2023-01-28T12:00:00+00:00,auto-matched
R000128,T000170,disputed,2023-02-25T12:00:00+00:00,auto-matched
R000129,T000171,disputed,2023-03-27T12:00:00+00:00,
R000130,T000172,disputed,2023-04-10T12:00:00+00:00,auto-matched
R000131,T000173,disputed,2023-05-27T12:00:00+00:00,auto-matched
R000132,T000175,disputed,2023-07-01T12:00:00+00:00,
R000133,T000177,pending,2023-09-27T12:00:00+00:00,auto-matched
R000134,T000180,disputed,2023-12-24T12:00:00+00:00,auto-matched
R000135,T000182,pending,2024-02-21T12:00:00+00:00,
R000136,T000184,reconciled,2024-04-03T12:00:00+00:00,auto-matched
R000137,T000185,pending,2024-05-11T12:00:00+00:00,auto-matched
R000138,T000188,disputed,2024-08-04T12:00:00+00:00,
